time,InputVoltage,VoltageDropOrig,Resistance,OutputVoltage,VoltageDrop
362,-10,-2.869,2010,-7.131,-2869
363,-10,-2.828,1970,-7.172,-2828
364,-10,-2.788,1930,-7.212,-2788
365,-10,-2.749,1900,-7.251,-2749
366,-10,-2.711,1860,-7.289,-2711
367,-10,-2.673,1820,-7.327,-2673
368,-10,-2.636,1790,-7.364,-2636
369,-10,-2.6,1760,-7.4,-2600
370,-10,-2.565,1730,-7.435,-2565
371,-10,-2.531,1690,-7.469,-2531
372,-10,-2.497,1660,-7.503,-2497
373,-10,-2.465,1640,-7.535,-2465
374,-10,-2.433,1610,-7.567,-2433
375,-10,-2.402,1580,-7.598,-2402
376,-10,-2.371,1550,-7.629,-2371
377,-10,-2.342,1530,-7.658,-2342
378,-10,-2.313,1510,-7.687,-2313
379,-10,-2.285,1480,-7.715,-2285
380,-10,-2.258,1460,-7.742,-2258
381,-10,-2.232,1440,-7.768,-2232
382,-10,-2.206,1420,-7.794,-2206
383,-10,-2.181,1400,-7.819,-2181
384,-10,-2.157,1380,-7.843,-2157
385,-10,-2.133,1360,-7.867,-2133
386,-10,-2.111,1340,-7.889,-2111
387,-10,-2.089,1320,-7.911,-2089
388,-10,-2.067,1300,-7.933,-2067
389,-10,-2.047,1290,-7.953,-2047
390,-10,-2.027,1270,-7.973,-2027
391,-10,-2.007,1260,-7.993,-2007
392,-10,-1.988,1240,-8.012,-1988
393,-10,-1.97,1230,-8.03,-1970
394,-10,-1.953,1210,-8.047,-1953
395,-10,-1.936,1200,-8.064,-1936
396,-10,-1.919,1190,-8.081,-1919
397,-10,-1.903,1180,-8.097,-1903
398,-10,-1.888,1160,-8.112,-1888
399,-10,-1.873,1150,-8.127,-1873
400,-10,-1.845,1130,-8.155,-1845
