SimTime,vout,sq_out,vout_smooth
0,0,-1,0
1000,0,-1,0
1026.6568942,0,-1,0
1054.9898937,0,-1,0
1063.8372514,0,-1,0
1074.2333856,0,-1,0
1095.025654,0,-1,0
1136.6101907,0,-1,0
1219.7792642,0,-1,0
1386.1174112,0,-1,0.043972920844147
1718.7937052,0,-1,0.04535854093022
2000,0,-1,0.048435484917385
2000.549231,0.159999988376057,-1,0.051512392144024
2000.8649963,3.1890188934014E-08,-1,0.054589329028134
2000.9107245,0.159999828170156,-1,0.057666239215401
2000.9225544,7.1279972979621E-07,-1,0.060743174744428
2000.9249294,0.159996592400069,-1,0.063820085580333
2000.9254611,1.5441044088349E-05,-1,0.066897020791988
2000.9255747,0.159928241715936,-1,0.069973931784876
2000.9255995,0.000329505515623,-1,0.073050866918461
2000.9256048,0.158490547281962,-1,0.076127777950278
2000.925606,0.006685213657386,-1,0.079204713064425
2000.9256063,0.134041468756619,-1,0.082281624105955
2000.9256064,0.079832425863329,-1,0.079204713508475
2000.9256065,0.080003023632528,-1,0.082281623325887
2000.9256066,0.079999043082045,-1,0.079204718888959
2000.9256067,0.080000543666283,-1,0.08228160251815
2000.925607,0.079999587892617,-1,0.079204822533614
2000.9256076,0.08000035898687,-1,0.082281139692019
2000.9256088,0.079999664868938,-1,0.079206988579874
2000.9256111,0.080000323754693,-1,0.082271226335565
2000.9256157,0.079999681733535,-1,0.07925237116317
2000.925625,0.080000315503023,-1,0.082072158605725
2000.9256436,0.079999685815085,-1,0.079993652607376
2000.9256808,0.080000313473212,-1,0.08000008573432
2000.9257552,0.079999686827263,-1,0.079999981471513
2000.9259039,0.080000312967804,-1,0.080000006243894
2000.9262014,0.079999687079797,-1,0.079999997364408
2000.9267964,0.080000312841579,-1,0.080000001182527
2000.9279864,0.079999687142899,-1,0.07999999940609
2000.9303663,0.080000312810031,-1,0.080000000263568
2000.9351262,0.079999687158672,-1,0.079999999842286
2000.9446459,0.080000312802143,-1,0.080000000051657
2000.9636853,0.079999687162614,-1,0.07999999994796
2001.0017642,0.080000312800171,-1,0.079876895872721
2001.0779219,0.0799996871636,-1,0.079876895838099
2001.2302374,0.080000312799671,-1,0.079753791741176
2001.5348684,0.079999687163832,-1,0.079753791716008
2002.1441304,0.080000312799532,-1,0.079630687617654
2003.3626543,0.079999687163888,-1,0.079630687548789
2005.7997022,0.080000312799544,-1,0.079507583671186
2010.673798,0.079999687163949,-1,0.079507582573505
2020.4219896,0.080000312799645,-1,0.079384483450601
2039.9183728,0.079999687163714,-1,0.079384460410235
2078.9111391,0.080000312799505,-1,0.079261462448854
2156.8966718,0.079999687163373,-1,0.079260975247737
2312.8677372,0.080000312801351,-1,0.079140062050594
2624.809868,0.079999687177176,-1,0.079074627433122
3000,0.080000312806902,-1,0.079013028280637
3058.3387981,0.076798979858875,-1,0.07895150777492
3073.0669213,0.080000312573054,-1,0.078889930278785
3076.0544961,0.076798980307247,-1,0.07882840091679
3076.720438,0.080000312313451,-1,0.078766827438113
3076.8629358,0.076798980522588,-1,0.078705296161403
3076.8939707,0.080000311051084,-1,0.078643723617581
3076.9006785,0.076798986325214,-1,0.078582191878962
3076.902133,0.080000284270325,-1,0.078520619564747
3076.902448,0.076799109963164,-1,0.078459087711599
3076.9025163,0.079999713752635,-1,0.078397515453998
3076.9025311,0.076801740166724,-1,0.078335983572085
3076.9025343,0.079987645571113,-1,0.078397515456382
3076.902535,0.076855944037882,-1,0.078335983576329
3076.9025352,0.078299012745393,-1,0.078397515446947
3076.9025353,0.078398109199223,-1,0.078335983575096
3076.9025354,0.078400779650896,-1,0.078397515438323
3076.9025355,0.078398672264383,-1,0.078335983614578
3076.9025358,0.078400549387666,-1,0.078397515254851
3076.9025363,0.078398776718353,-1,0.078335984461024
3076.9025374,0.078400499605195,-1,0.078397511346046
3076.9025395,0.078398801024325,-1,0.078336002495178
3076.9025437,0.078400487595421,-1,0.078397428218537
3076.9025522,0.078398806993789,-1,0.078336383528491
3076.9025691,0.078400484619498,-1,0.078395724487569
3076.902603,0.078398808479554,-1,0.078399627213886
3076.9026707,0.078400483877163,-1,0.078399654128293
3076.9028062,0.078398808850584,-1,0.078399642742807
3076.9030771,0.078400483691683,-1,0.078399648000913
3076.9036189,0.078398808943316,-1,0.078399645471845
3076.9047026,0.078400483645318,-1,0.078399646712535
3076.9068699,0.078398808966496,-1,0.078399646097718
3076.9112044,0.078400483633727,-1,0.078399646402773
3076.9198736,0.078398808972292,-1,0.078399646248816
3076.937212,0.078400483630835,-1,0.078399646327373
3076.9718887,0.078398808973733,-1,0.084553432973179
3077.0412421,0.078400483630067,-1,0.084553433189662
3077.1799489,0.078398808974058,-1,0.090707219468929
3077.4573626,0.07840048362992,-1,0.090707220158959
3078.0121899,0.078398808973894,-1,0.096861004244718
3079.1218445,0.078400483629636,-1,0.09686101519976
3081.3411536,0.078398808973813,-1,0.103014751849274
3085.779772,0.078400483628276,-1,0.103014981683832
3094.6570087,0.078398808975127,-1,0.109167707953098
3112.4114822,0.078400483631904,-1,0.109172597740213
3147.9204291,0.078398808976288,-1,0.115303890780533
3218.9383228,0.07840048361994,-1,0.115406078223123
3360.9741104,0.078398808955771,-1,0.121120541573969
3645.0456856,0.078400483592544,-1,0.122644685019921
4000,0.078398809036259,-1,0.125724562960981
4054.7476867,0.238398937410449,-1,0.128801479525854
