time,InputVoltage,VoltageDropOrig,Resistance,OutputVoltage,VoltageDrop
0,-10,-1.667,1000,-8.333,-1667
0.1,10,1.674,1010,8.326,1674
0.101,10,1.681,1010,8.319,1681
0.102,10,1.689,1020,8.311,1689
0.106,10,1.697,1020,8.303,1697
0.112,10,1.706,1030,8.294,1706
0.124,10,1.715,1040,8.285,1715
0.149,10,1.724,1040,8.276,1724
0.199,10,1.734,1050,8.266,1734
0.299,10,1.744,1060,8.256,1744
0.499,10,1.754,1060,8.246,1754
0.899,10,1.765,1070,8.235,1765
1.7,10,1.776,1080,8.224,1776
2.7,10,1.788,1090,8.212,1788
3.7,10,1.8,1100,8.2,1800
4.7,10,1.812,1110,8.188,1812
5.7,10,1.825,1120,8.175,1825
6.7,10,1.839,1130,8.161,1839
7.7,10,1.853,1140,8.147,1853
8.7,10,1.868,1150,8.132,1868
9.7,10,1.883,1160,8.117,1883
10.7,10,1.899,1170,8.101,1899
11.7,10,1.915,1180,8.085,1915
12.7,10,1.932,1200,8.068,1932
13.7,10,1.949,1210,8.051,1949
14.7,10,1.967,1230,8.033,1967
15.7,10,1.986,1240,8.014,1986
16.7,10,2.006,1250,7.994,2006
17.7,10,2.026,1270,7.974,2026
18.7,10,2.047,1290,7.953,2047
19.7,10,2.068,1300,7.932,2068
20.7,10,2.09,1320,7.91,2090
21.7,10,2.113,1340,7.887,2113
22.7,10,2.137,1360,7.863,2137
23.7,10,2.161,1380,7.839,2161
24.7,10,2.187,1400,7.813,2187
25.7,10,2.213,1420,7.787,2213
26.7,10,2.239,1440,7.761,2239
27.7,10,2.267,1470,7.733,2267
28.7,10,2.296,1490,7.704,2296
29.7,10,2.325,1510,7.675,2325
30.7,10,2.355,1540,7.645,2355
31.7,10,2.386,1570,7.614,2386
32.7,10,2.418,1590,7.582,2418
33.7,10,2.45,1620,7.55,2450
34.7,10,2.484,1650,7.516,2484
35.7,10,2.518,1680,7.482,2518
36.7,10,2.553,1710,7.447,2553
37.7,10,2.589,1750,7.411,2589
38.7,10,2.626,1780,7.374,2626
39.7,10,2.664,1820,7.336,2664
40.7,10,2.703,1850,7.297,2703
41.7,10,2.742,1890,7.258,2742
42.7,10,2.783,1930,7.217,2783
43.7,10,2.824,1970,7.176,2824
