SimTime,nrst,hl,uv,ov,oc,zc,gp,gp_ack,gn,gn_ack,get,pass
13492.87,1,1,1,0,0,0,1,0,0,0,1,0
13495.193,1,1,1,0,1,0,1,1,0,0,1,0
13531.193,1,1,1,0,1,0,0,1,0,0,1,0
13533.054,1,1,1,0,1,0,0,0,0,0,1,0
13541.054,1,1,1,0,1,0,0,0,1,0,1,0
13543.068,1,1,1,0,0,0,0,0,1,1,1,0
13566.068,1,1,1,0,0,0,0,0,0,1,1,0
13567.537,1,1,1,0,0,0,0,0,0,0,1,0
13585.537,1,1,1,0,0,0,1,0,0,0,1,0
13587.858,1,1,1,0,1,0,1,1,0,0,1,0
13623.858,1,1,1,0,1,0,0,1,0,0,1,0
13625.719,1,1,1,0,1,0,0,0,0,0,1,0
13633.719,1,1,1,0,1,0,0,0,1,0,1,0
13635.731,1,1,1,0,0,0,0,0,1,1,1,0
13658.731,1,1,1,0,0,0,0,0,0,1,1,0
13660.273,1,1,1,0,0,0,0,0,0,0,1,0
13678.273,1,1,1,0,0,0,1,0,0,0,1,0
13680.596,1,1,1,0,1,0,1,1,0,0,1,0
13716.596,1,1,1,0,1,0,0,1,0,0,1,0
13718.462,1,1,1,0,1,0,0,0,0,0,1,0
13726.462,1,1,1,0,1,0,0,0,1,0,1,0
13728.472,1,1,1,0,0,0,0,0,1,1,1,0
13751.472,1,1,1,0,0,0,0,0,0,1,1,0
13753.017,1,1,1,0,0,0,0,0,0,0,1,0
13771.017,1,1,1,0,0,0,1,0,0,0,1,0
13773.347,1,1,1,0,1,0,1,1,0,0,1,0
13809.347,1,1,1,0,1,0,0,1,0,0,1,0
13811.214,1,1,1,0,1,0,0,0,0,0,1,0
13819.214,1,1,1,0,1,0,0,0,1,0,1,0
13821.221,1,1,1,0,0,0,0,0,1,1,1,0
13844.221,1,1,1,0,0,0,0,0,0,1,1,0
13845.698,1,1,1,0,0,0,0,0,0,0,1,0
13863.698,1,1,1,0,0,0,1,0,0,0,1,0
13866.021,1,1,1,0,1,0,1,1,0,0,1,0
13902.021,1,1,1,0,1,0,0,1,0,0,1,0
13903.89,1,1,1,0,1,0,0,0,0,0,1,0
13911.89,1,1,1,0,1,0,0,0,1,0,1,0
13913.896,1,1,1,0,0,0,0,0,1,1,1,0
13936.896,1,1,1,0,0,0,0,0,0,1,1,0
13938.433,1,1,1,0,0,0,0,0,0,0,1,0
13956.433,1,1,1,0,0,0,1,0,0,0,1,0
13958.757,1,1,1,0,1,0,1,1,0,0,1,0
13994.757,1,1,1,0,1,0,0,1,0,0,1,0
13996.628,1,1,1,0,1,0,0,0,0,0,1,0
14004.628,1,1,1,0,1,0,0,0,1,0,1,0
14006.627,1,1,1,0,0,0,0,0,1,1,1,0
14029.627,1,1,1,0,0,0,0,0,0,1,1,0
14031.164,1,1,1,0,0,0,0,0,0,0,1,0
14049.164,1,1,1,0,0,0,1,0,0,0,1,0
14051.496,1,1,1,0,1,0,1,1,0,0,1,0
14087.496,1,1,1,0,1,0,0,1,0,0,1,0
14089.37,1,1,1,0,1,0,0,0,0,0,1,0
14097.37,1,1,1,0,1,0,0,0,1,0,1,0
14099.366,1,1,1,0,0,0,0,0,1,1,1,0
14122.366,1,1,1,0,0,0,0,0,0,1,1,0
14123.9,1,1,1,0,0,0,0,0,0,0,1,0
14141.9,1,1,1,0,0,0,1,0,0,0,1,0
14144.232,1,1,1,0,1,0,1,1,0,0,1,0
14180.232,1,1,1,0,1,0,0,1,0,0,1,0
14182.108,1,1,1,0,1,0,0,0,0,0,1,0
14190.108,1,1,1,0,1,0,0,0,1,0,1,0
14192.106,1,1,1,0,0,0,0,0,1,1,1,0
14215.106,1,1,1,0,0,0,0,0,0,1,1,0
14216.591,1,1,1,0,0,0,0,0,0,0,1,0
14234.591,1,1,1,0,0,0,1,0,0,0,1,0
14236.923,1,1,1,0,1,0,1,1,0,0,1,0
14272.923,1,1,1,0,1,0,0,1,0,0,1,0
14274.8,1,1,1,0,1,0,0,0,0,0,1,0
14282.8,1,1,1,0,1,0,0,0,1,0,1,0
14284.801,1,1,1,0,0,0,0,0,1,1,1,0
14307.801,1,1,1,0,0,0,0,0,0,1,1,0
14309.336,1,1,1,0,0,0,0,0,0,0,1,0
14327.336,1,1,1,0,0,0,1,0,0,0,1,0
14329.668,1,1,1,0,1,0,1,1,0,0,1,0
14365.668,1,1,1,0,1,0,0,1,0,0,1,0
14367.546,1,1,1,0,1,0,0,0,0,0,1,0
14375.546,1,1,1,0,1,0,0,0,1,0,1,0
14377.545,1,1,1,0,0,0,0,0,1,1,1,0
14400.545,1,1,1,0,0,0,0,0,0,1,1,0
14402.072,1,1,1,0,0,0,0,0,0,0,1,0
14420.072,1,1,1,0,0,0,1,0,0,0,1,0
14422.401,1,1,1,0,1,0,1,1,0,0,1,0
14458.401,1,1,1,0,1,0,0,1,0,0,1,0
14460.283,1,1,1,0,1,0,0,0,0,0,1,0
14468.283,1,1,1,0,1,0,0,0,1,0,1,0
14470.279,1,1,1,0,0,0,0,0,1,1,1,0
14493.279,1,1,1,0,0,0,0,0,0,1,1,0
14494.821,1,1,1,0,0,0,0,0,0,0,1,0
14512.821,1,1,1,0,0,0,1,0,0,0,1,0
14515.153,1,1,1,0,1,0,1,1,0,0,1,0
14551.153,1,1,1,0,1,0,0,1,0,0,1,0
14553.035,1,1,1,0,1,0,0,0,0,0,1,0
14561.035,1,1,1,0,1,0,0,0,1,0,1,0
14563.034,1,1,1,0,0,0,0,0,1,1,1,0
14586.034,1,1,1,0,0,0,0,0,0,1,1,0
14587.691,1,1,1,0,0,0,0,0,0,0,1,0
14605.691,1,1,1,0,0,0,1,0,0,0,1,0
14608.024,1,1,1,0,1,0,1,1,0,0,1,0
14644.024,1,1,1,0,1,0,0,1,0,0,1,0
14645.907,1,1,1,0,1,0,0,0,0,0,1,0
14653.907,1,1,1,0,1,0,0,0,1,0,1,0
14655.905,1,1,1,0,0,0,0,0,1,1,1,0
14678.905,1,1,1,0,0,0,0,0,0,1,1,0
14680.446,1,1,1,0,0,0,0,0,0,0,1,0
14698.446,1,1,1,0,0,0,1,0,0,0,1,0
14700.783,1,1,1,0,1,0,1,1,0,0,1,0
14736.783,1,1,1,0,1,0,0,1,0,0,1,0
14738.67,1,1,1,0,1,0,0,0,0,0,1,0
14746.67,1,1,1,0,1,0,0,0,1,0,1,0
14748.666,1,1,1,0,0,0,0,0,1,1,1,0
14771.666,1,1,1,0,0,0,0,0,0,1,1,0
14773.207,1,1,1,0,0,0,0,0,0,0,1,0
14791.207,1,1,1,0,0,0,1,0,0,0,1,0
14793.544,1,1,1,0,1,0,1,1,0,0,1,0
14829.544,1,1,1,0,1,0,0,1,0,0,1,0
14831.43,1,1,1,0,1,0,0,0,0,0,1,0
14839.43,1,1,1,0,1,0,0,0,1,0,1,0
14841.424,1,1,1,0,0,0,0,0,1,1,1,0
14864.424,1,1,1,0,0,0,0,0,0,1,1,0
14865.966,1,1,1,0,0,0,0,0,0,0,1,0
14883.966,1,1,1,0,0,0,1,0,0,0,1,0
14886.301,1,1,1,0,1,0,1,1,0,0,1,0
14922.301,1,1,1,0,1,0,0,1,0,0,1,0
14924.189,1,1,1,0,1,0,0,0,0,0,1,0
14932.189,1,1,1,0,1,0,0,0,1,0,1,0
14934.185,1,1,1,0,0,0,0,0,1,1,1,0
14957.185,1,1,1,0,0,0,0,0,0,1,1,0
14958.722,1,1,1,0,0,0,0,0,0,0,1,0
14976.722,1,1,1,0,0,0,1,0,0,0,1,0
14979.058,1,1,1,0,1,0,1,1,0,0,1,0
15015.058,1,1,1,0,1,0,0,1,0,0,1,0
