time,InputVoltage,VoltageDrop,Resistance,OutputVoltage
0,-10,-1.667,1.00E+03,-8.333
1.00E-11,10,1.674,1.01E+03,8.326
1.01E-11,10,1.681,1.01E+03,8.319
1.02E-11,10,1.689,1.02E+03,8.311
1.06E-11,10,1.697,1.02E+03,8.303
1.12E-11,10,1.706,1.03E+03,8.294
1.24E-11,10,1.715,1.04E+03,8.285
1.49E-11,10,1.724,1.04E+03,8.276
1.99E-11,10,1.734,1.05E+03,8.266
2.99E-11,10,1.744,1.06E+03,8.256
4.99E-11,10,1.754,1.06E+03,8.246
8.99E-11,10,1.765,1.07E+03,8.235
1.70E-10,10,1.776,1.08E+03,8.224
2.70E-10,10,1.788,1.09E+03,8.212
3.70E-10,10,1.8,1.10E+03,8.2
4.70E-10,10,1.812,1.11E+03,8.188
5.70E-10,10,1.825,1.12E+03,8.175
6.70E-10,10,1.839,1.13E+03,8.161
7.70E-10,10,1.853,1.14E+03,8.147
8.70E-10,10,1.868,1.15E+03,8.132
9.70E-10,10,1.883,1.16E+03,8.117
1.07E-09,10,1.899,1.17E+03,8.101
1.17E-09,10,1.915,1.18E+03,8.085
1.27E-09,10,1.932,1.20E+03,8.068
1.37E-09,10,1.949,1.21E+03,8.051
1.47E-09,10,1.967,1.23E+03,8.033
1.57E-09,10,1.986,1.24E+03,8.014
1.67E-09,10,2.006,1.25E+03,7.994
1.77E-09,10,2.026,1.27E+03,7.974
1.87E-09,10,2.047,1.29E+03,7.953
1.97E-09,10,2.068,1.30E+03,7.932
2.07E-09,10,2.09,1.32E+03,7.91
2.17E-09,10,2.113,1.34E+03,7.887
2.27E-09,10,2.137,1.36E+03,7.863
2.37E-09,10,2.161,1.38E+03,7.839
2.47E-09,10,2.187,1.40E+03,7.813
2.57E-09,10,2.213,1.42E+03,7.787
2.67E-09,10,2.239,1.44E+03,7.761
2.77E-09,10,2.267,1.47E+03,7.733
2.87E-09,10,2.296,1.49E+03,7.704
2.97E-09,10,2.325,1.51E+03,7.675
3.07E-09,10,2.355,1.54E+03,7.645
3.17E-09,10,2.386,1.57E+03,7.614
3.27E-09,10,2.418,1.59E+03,7.582
3.37E-09,10,2.45,1.62E+03,7.55
3.47E-09,10,2.484,1.65E+03,7.516
3.57E-09,10,2.518,1.68E+03,7.482
3.67E-09,10,2.553,1.71E+03,7.447
3.77E-09,10,2.589,1.75E+03,7.411
3.87E-09,10,2.626,1.78E+03,7.374
3.97E-09,10,2.664,1.82E+03,7.336
4.07E-09,10,2.703,1.85E+03,7.297
4.17E-09,10,2.742,1.89E+03,7.258
4.27E-09,10,2.783,1.93E+03,7.217
4.37E-09,10,2.824,1.97E+03,7.176
4.47E-09,10,2.866,2.01E+03,7.134
4.57E-09,10,2.908,2.05E+03,7.092
4.67E-09,10,2.952,2.09E+03,7.048
4.77E-09,10,2.996,2.14E+03,7.004
4.87E-09,10,3.041,2.19E+03,6.959
4.97E-09,10,3.087,2.23E+03,6.913
5.07E-09,10,3.134,2.28E+03,6.866
5.17E-09,10,3.181,2.33E+03,6.819
5.27E-09,10,3.229,2.38E+03,6.771
5.37E-09,10,3.277,2.44E+03,6.723
5.47E-09,10,3.326,2.49E+03,6.674
5.57E-09,10,3.376,2.55E+03,6.624
5.67E-09,10,3.427,2.61E+03,6.573
5.77E-09,10,3.477,2.67E+03,6.523
5.87E-09,10,3.529,2.73E+03,6.471
5.97E-09,10,3.581,2.79E+03,6.419
6.07E-09,10,3.633,2.85E+03,6.367
6.17E-09,10,3.686,2.92E+03,6.314
6.27E-09,10,3.739,2.99E+03,6.261
6.37E-09,10,3.792,3.05E+03,6.208
6.47E-09,10,3.846,3.13E+03,6.154
6.57E-09,10,3.9,3.20E+03,6.1
6.67E-09,10,3.954,3.27E+03,6.046
6.77E-09,10,4.009,3.35E+03,5.991
6.87E-09,10,4.064,3.42E+03,5.936
6.97E-09,10,4.118,3.50E+03,5.882
7.07E-09,10,4.173,3.58E+03,5.827
7.17E-09,10,4.228,3.66E+03,5.772
7.27E-09,10,4.284,3.75E+03,5.716
7.37E-09,10,4.339,3.83E+03,5.661
7.47E-09,10,4.394,3.92E+03,5.606
7.57E-09,10,4.449,4.01E+03,5.551
7.67E-09,10,4.504,4.10E+03,5.496
7.77E-09,10,4.559,4.19E+03,5.441
7.87E-09,10,4.613,4.28E+03,5.387
7.97E-09,10,4.668,4.38E+03,5.332
8.07E-09,10,4.722,4.47E+03,5.278
8.17E-09,10,4.777,4.57E+03,5.223
8.27E-09,10,4.831,4.67E+03,5.169
8.37E-09,10,4.884,4.77E+03,5.116
8.47E-09,10,4.938,4.88E+03,5.062
8.57E-09,10,4.991,4.98E+03,5.009
8.67E-09,10,5.044,5.09E+03,4.956
8.77E-09,10,5.096,5.20E+03,4.904
8.87E-09,10,5.148,5.31E+03,4.852
8.97E-09,10,5.2,5.42E+03,4.8
9.07E-09,10,5.251,5.53E+03,4.749
9.17E-09,10,5.302,5.64E+03,4.698
9.27E-09,10,5.353,5.76E+03,4.647
9.37E-09,10,5.403,5.88E+03,4.597
9.47E-09,10,5.452,5.99E+03,4.548
9.57E-09,10,5.501,6.11E+03,4.499
9.67E-09,10,5.55,6.24E+03,4.45
9.77E-09,10,5.598,6.36E+03,4.402
9.87E-09,10,5.646,6.48E+03,4.354
9.94E-09,10,5.693,6.61E+03,4.307
1.00E-08,10,5.74,6.74E+03,4.26
1.00E-08,-10,-5.693,6.61E+03,-4.307
1.00E-08,-10,-5.647,6.49E+03,-4.353
1.00E-08,-10,-5.599,6.36E+03,-4.401
1.01E-08,-10,-5.552,6.24E+03,-4.448
1.01E-08,-10,-5.504,6.12E+03,-4.496
1.02E-08,-10,-5.456,6.00E+03,-4.544
1.03E-08,-10,-5.407,5.89E+03,-4.593
1.04E-08,-10,-5.357,5.77E+03,-4.643
1.05E-08,-10,-5.308,5.66E+03,-4.692
1.06E-08,-10,-5.257,5.54E+03,-4.743
1.07E-08,-10,-5.207,5.43E+03,-4.793
1.08E-08,-10,-5.156,5.32E+03,-4.844
1.09E-08,-10,-5.105,5.21E+03,-4.895
1.10E-08,-10,-5.053,5.11E+03,-4.947
1.11E-08,-10,-5.001,5.00E+03,-4.999
1.12E-08,-10,-4.949,4.90E+03,-5.051
1.13E-08,-10,-4.896,4.80E+03,-5.104
1.14E-08,-10,-4.843,4.70E+03,-5.157
1.15E-08,-10,-4.79,4.60E+03,-5.21
1.16E-08,-10,-4.737,4.50E+03,-5.263
1.17E-08,-10,-4.684,4.41E+03,-5.316
1.18E-08,-10,-4.63,4.31E+03,-5.37
1.19E-08,-10,-4.576,4.22E+03,-5.424
1.20E-08,-10,-4.522,4.13E+03,-5.478
1.21E-08,-10,-4.468,4.04E+03,-5.532
1.22E-08,-10,-4.414,3.95E+03,-5.586
1.23E-08,-10,-4.36,3.87E+03,-5.64
1.24E-08,-10,-4.306,3.78E+03,-5.694
1.25E-08,-10,-4.252,3.70E+03,-5.748
1.26E-08,-10,-4.198,3.62E+03,-5.802
1.27E-08,-10,-4.144,3.54E+03,-5.856
1.28E-08,-10,-4.091,3.46E+03,-5.909
1.29E-08,-10,-4.037,3.39E+03,-5.963
1.30E-08,-10,-3.984,3.31E+03,-6.016
1.31E-08,-10,-3.93,3.24E+03,-6.07
1.32E-08,-10,-3.877,3.17E+03,-6.123
1.33E-08,-10,-3.825,3.10E+03,-6.175
1.34E-08,-10,-3.772,3.03E+03,-6.228
1.35E-08,-10,-3.72,2.96E+03,-6.28
1.36E-08,-10,-3.668,2.90E+03,-6.332
1.37E-08,-10,-3.617,2.83E+03,-6.383
1.38E-08,-10,-3.566,2.77E+03,-6.434
1.39E-08,-10,-3.516,2.71E+03,-6.484
1.40E-08,-10,-3.466,2.65E+03,-6.534
1.41E-08,-10,-3.416,2.59E+03,-6.584
1.42E-08,-10,-3.367,2.54E+03,-6.633
1.43E-08,-10,-3.319,2.48E+03,-6.681
1.44E-08,-10,-3.271,2.43E+03,-6.729
1.45E-08,-10,-3.224,2.38E+03,-6.776
1.46E-08,-10,-3.177,2.33E+03,-6.823
1.47E-08,-10,-3.132,2.28E+03,-6.868
1.48E-08,-10,-3.086,2.23E+03,-6.914
1.49E-08,-10,-3.042,2.19E+03,-6.958
1.50E-08,-10,-2.998,2.14E+03,-7.002
1.51E-08,-10,-2.955,2.10E+03,-7.045
1.52E-08,-10,-2.913,2.06E+03,-7.087
1.53E-08,-10,-2.871,2.01E+03,-7.129
1.54E-08,-10,-2.83,1.97E+03,-7.17
1.55E-08,-10,-2.79,1.94E+03,-7.21
1.56E-08,-10,-2.751,1.90E+03,-7.249
1.57E-08,-10,-2.713,1.86E+03,-7.287
1.58E-08,-10,-2.675,1.83E+03,-7.325
1.59E-08,-10,-2.638,1.79E+03,-7.362
1.60E-08,-10,-2.602,1.76E+03,-7.398
1.61E-08,-10,-2.567,1.73E+03,-7.433
1.62E-08,-10,-2.533,1.70E+03,-7.467
1.63E-08,-10,-2.499,1.67E+03,-7.501
1.64E-08,-10,-2.466,1.64E+03,-7.534
1.65E-08,-10,-2.434,1.61E+03,-7.566
1.66E-08,-10,-2.403,1.58E+03,-7.597
1.67E-08,-10,-2.373,1.56E+03,-7.627
1.68E-08,-10,-2.343,1.53E+03,-7.657
1.69E-08,-10,-2.314,1.51E+03,-7.686
1.70E-08,-10,-2.286,1.48E+03,-7.714
1.71E-08,-10,-2.259,1.46E+03,-7.741
1.72E-08,-10,-2.233,1.44E+03,-7.767
1.73E-08,-10,-2.207,1.42E+03,-7.793
1.74E-08,-10,-2.182,1.40E+03,-7.818
1.75E-08,-10,-2.158,1.38E+03,-7.842
1.76E-08,-10,-2.135,1.36E+03,-7.865
1.77E-08,-10,-2.112,1.34E+03,-7.888
1.78E-08,-10,-2.09,1.32E+03,-7.91
1.79E-08,-10,-2.068,1.30E+03,-7.932
1.80E-08,-10,-2.048,1.29E+03,-7.952
1.81E-08,-10,-2.028,1.27E+03,-7.972
1.82E-08,-10,-2.008,1.26E+03,-7.992
1.83E-08,-10,-1.989,1.24E+03,-8.011
1.84E-08,-10,-1.971,1.23E+03,-8.029
1.85E-08,-10,-1.954,1.21E+03,-8.046
1.86E-08,-10,-1.937,1.20E+03,-8.063
1.87E-08,-10,-1.92,1.19E+03,-8.08
1.88E-08,-10,-1.904,1.18E+03,-8.096
1.89E-08,-10,-1.889,1.16E+03,-8.111
1.90E-08,-10,-1.874,1.15E+03,-8.126
1.91E-08,-10,-1.86,1.14E+03,-8.14
1.92E-08,-10,-1.846,1.13E+03,-8.154
1.93E-08,-10,-1.833,1.12E+03,-8.167
1.94E-08,-10,-1.82,1.11E+03,-8.18
1.95E-08,-10,-1.808,1.10E+03,-8.192
1.96E-08,-10,-1.796,1.09E+03,-8.204
1.97E-08,-10,-1.784,1.09E+03,-8.216
1.98E-08,-10,-1.773,1.08E+03,-8.227
1.99E-08,-10,-1.762,1.07E+03,-8.238
1.99E-08,-10,-1.752,1.06E+03,-8.248
2.00E-08,-10,-1.742,1.06E+03,-8.258
2.00E-08,10,1.753,1.06E+03,8.247
2.00E-08,10,1.763,1.07E+03,8.237
2.00E-08,10,1.774,1.08E+03,8.226
2.00E-08,10,1.786,1.09E+03,8.214
2.00E-08,10,1.798,1.10E+03,8.202
2.00E-08,10,1.811,1.11E+03,8.189
2.00E-08,10,1.824,1.12E+03,8.176
2.00E-08,10,1.837,1.13E+03,8.163
2.00E-08,10,1.851,1.14E+03,8.149
2.01E-08,10,1.866,1.15E+03,8.134
2.01E-08,10,1.881,1.16E+03,8.119
2.02E-08,10,1.896,1.17E+03,8.104
2.03E-08,10,1.913,1.18E+03,8.087
2.04E-08,10,1.929,1.20E+03,8.071
2.05E-08,10,1.947,1.21E+03,8.053
2.06E-08,10,1.965,1.22E+03,8.035
2.07E-08,10,1.984,1.24E+03,8.016
2.08E-08,10,2.003,1.25E+03,7.997
2.09E-08,10,2.023,1.27E+03,7.977
2.10E-08,10,2.044,1.28E+03,7.956
2.11E-08,10,2.065,1.30E+03,7.935
2.12E-08,10,2.087,1.32E+03,7.913
2.13E-08,10,2.11,1.34E+03,7.89
2.14E-08,10,2.134,1.36E+03,7.866
2.15E-08,10,2.158,1.38E+03,7.842
2.16E-08,10,2.183,1.40E+03,7.817
2.17E-08,10,2.209,1.42E+03,7.791
2.18E-08,10,2.236,1.44E+03,7.764
2.19E-08,10,2.263,1.46E+03,7.737
2.20E-08,10,2.292,1.49E+03,7.708
2.21E-08,10,2.321,1.51E+03,7.679
2.22E-08,10,2.351,1.54E+03,7.649
2.23E-08,10,2.382,1.56E+03,7.618
2.24E-08,10,2.413,1.59E+03,7.587
2.25E-08,10,2.446,1.62E+03,7.554
2.26E-08,10,2.479,1.65E+03,7.521
2.27E-08,10,2.513,1.68E+03,7.487
2.28E-08,10,2.548,1.71E+03,7.452
2.29E-08,10,2.584,1.74E+03,7.416
2.30E-08,10,2.621,1.78E+03,7.379
2.31E-08,10,2.659,1.81E+03,7.341
2.32E-08,10,2.697,1.85E+03,7.303
2.33E-08,10,2.737,1.88E+03,7.263
2.34E-08,10,2.777,1.92E+03,7.223
2.35E-08,10,2.818,1.96E+03,7.182
2.36E-08,10,2.86,2.00E+03,7.14
2.37E-08,10,2.902,2.05E+03,7.098
2.38E-08,10,2.946,2.09E+03,7.054
2.39E-08,10,2.99,2.13E+03,7.01
2.40E-08,10,3.035,2.18E+03,6.965
2.41E-08,10,3.081,2.23E+03,6.919
2.42E-08,10,3.127,2.28E+03,6.873
2.43E-08,10,3.174,2.33E+03,6.826
2.44E-08,10,3.222,2.38E+03,6.778
2.45E-08,10,3.271,2.43E+03,6.729
2.46E-08,10,3.32,2.49E+03,6.68
2.47E-08,10,3.369,2.54E+03,6.631
2.48E-08,10,3.42,2.60E+03,6.58
2.49E-08,10,3.47,2.66E+03,6.53
2.50E-08,10,3.522,2.72E+03,6.478
2.51E-08,10,3.574,2.78E+03,6.426
2.52E-08,10,3.626,2.84E+03,6.374
2.53E-08,10,3.678,2.91E+03,6.322
2.54E-08,10,3.731,2.98E+03,6.269
2.55E-08,10,3.785,3.05E+03,6.215
2.56E-08,10,3.839,3.12E+03,6.161
2.57E-08,10,3.893,3.19E+03,6.107
2.58E-08,10,3.947,3.26E+03,6.053
2.59E-08,10,4.001,3.34E+03,5.999
2.60E-08,10,4.056,3.41E+03,5.944
2.61E-08,10,4.111,3.49E+03,5.889
2.62E-08,10,4.166,3.57E+03,5.834
2.63E-08,10,4.221,3.65E+03,5.779
2.64E-08,10,4.276,3.74E+03,5.724
2.65E-08,10,4.331,3.82E+03,5.669
2.66E-08,10,4.386,3.91E+03,5.614
2.67E-08,10,4.441,4.00E+03,5.559
2.68E-08,10,4.496,4.09E+03,5.504
2.69E-08,10,4.551,4.18E+03,5.449
2.70E-08,10,4.606,4.27E+03,5.394
2.71E-08,10,4.661,4.36E+03,5.339
2.72E-08,10,4.715,4.46E+03,5.285
2.73E-08,10,4.769,4.56E+03,5.231
2.74E-08,10,4.823,4.66E+03,5.177
2.75E-08,10,4.877,4.76E+03,5.123
2.76E-08,10,4.93,4.86E+03,5.07
2.77E-08,10,4.984,4.97E+03,5.016
2.78E-08,10,5.036,5.07E+03,4.964
2.79E-08,10,5.089,5.18E+03,4.911
2.80E-08,10,5.141,5.29E+03,4.859
2.81E-08,10,5.193,5.40E+03,4.807
2.82E-08,10,5.244,5.51E+03,4.756
2.83E-08,10,5.295,5.63E+03,4.705
2.84E-08,10,5.346,5.74E+03,4.654
2.85E-08,10,5.396,5.86E+03,4.604
2.86E-08,10,5.445,5.98E+03,4.555
2.87E-08,10,5.495,6.10E+03,4.505
2.88E-08,10,5.543,6.22E+03,4.457
2.89E-08,10,5.592,6.34E+03,4.408
2.90E-08,10,5.639,6.47E+03,4.361
2.91E-08,10,5.687,6.59E+03,4.313
2.92E-08,10,5.733,6.72E+03,4.267
2.93E-08,10,5.78,6.85E+03,4.22
