time,InputVoltage,VoltageDrop,Resistance,OutputVoltage
2.94E-08,10,5.825,6.98E+03,4.175
2.95E-08,10,5.87,7.11E+03,4.13
2.96E-08,10,5.915,7.24E+03,4.085
2.97E-08,10,5.959,7.37E+03,4.041
2.98E-08,10,6.003,7.51E+03,3.997
2.99E-08,10,6.046,7.65E+03,3.954
2.99E-08,10,6.089,7.78E+03,3.911
3.00E-08,10,6.131,7.92E+03,3.869
3.00E-08,-10,-6.089,7.78E+03,-3.911
3.00E-08,-10,-6.047,7.65E+03,-3.953
3.00E-08,-10,-6.004,7.51E+03,-3.996
3.01E-08,-10,-5.961,7.38E+03,-4.039
3.01E-08,-10,-5.917,7.25E+03,-4.083
3.02E-08,-10,-5.873,7.12E+03,-4.127
3.03E-08,-10,-5.828,6.99E+03,-4.172
3.04E-08,-10,-5.783,6.86E+03,-4.217
3.05E-08,-10,-5.737,6.73E+03,-4.263
3.06E-08,-10,-5.691,6.60E+03,-4.309
3.07E-08,-10,-5.645,6.48E+03,-4.355
3.08E-08,-10,-5.597,6.36E+03,-4.403
3.09E-08,-10,-5.55,6.24E+03,-4.45
3.10E-08,-10,-5.502,6.12E+03,-4.498
3.11E-08,-10,-5.453,6.00E+03,-4.547
3.12E-08,-10,-5.404,5.88E+03,-4.596
3.13E-08,-10,-5.355,5.76E+03,-4.645
3.14E-08,-10,-5.305,5.65E+03,-4.695
3.15E-08,-10,-5.255,5.54E+03,-4.745
3.16E-08,-10,-5.204,5.43E+03,-4.796
3.17E-08,-10,-5.153,5.32E+03,-4.847
3.18E-08,-10,-5.102,5.21E+03,-4.898
3.19E-08,-10,-5.05,5.10E+03,-4.95
3.20E-08,-10,-4.998,5.00E+03,-5.002
3.21E-08,-10,-4.946,4.89E+03,-5.054
3.22E-08,-10,-4.894,4.79E+03,-5.106
3.23E-08,-10,-4.841,4.69E+03,-5.159
3.24E-08,-10,-4.788,4.59E+03,-5.212
3.25E-08,-10,-4.735,4.50E+03,-5.265
3.26E-08,-10,-4.681,4.40E+03,-5.319
3.27E-08,-10,-4.627,4.31E+03,-5.373
3.28E-08,-10,-4.574,4.21E+03,-5.426
3.29E-08,-10,-4.52,4.12E+03,-5.48
3.30E-08,-10,-4.466,4.04E+03,-5.534
3.31E-08,-10,-4.412,3.95E+03,-5.588
3.32E-08,-10,-4.358,3.86E+03,-5.642
3.33E-08,-10,-4.304,3.78E+03,-5.696
3.34E-08,-10,-4.25,3.70E+03,-5.75
3.35E-08,-10,-4.196,3.61E+03,-5.804
3.36E-08,-10,-4.142,3.54E+03,-5.858
3.37E-08,-10,-4.088,3.46E+03,-5.912
3.38E-08,-10,-4.034,3.38E+03,-5.966
3.39E-08,-10,-3.981,3.31E+03,-6.019
3.40E-08,-10,-3.928,3.23E+03,-6.072
3.41E-08,-10,-3.875,3.16E+03,-6.125
3.42E-08,-10,-3.822,3.09E+03,-6.178
3.43E-08,-10,-3.77,3.03E+03,-6.23
3.44E-08,-10,-3.717,2.96E+03,-6.283
3.45E-08,-10,-3.666,2.89E+03,-6.334
3.46E-08,-10,-3.614,2.83E+03,-6.386
3.47E-08,-10,-3.564,2.77E+03,-6.436
3.48E-08,-10,-3.513,2.71E+03,-6.487
3.49E-08,-10,-3.463,2.65E+03,-6.537
3.50E-08,-10,-3.414,2.59E+03,-6.586
3.51E-08,-10,-3.365,2.54E+03,-6.635
3.52E-08,-10,-3.317,2.48E+03,-6.683
3.53E-08,-10,-3.269,2.43E+03,-6.731
3.54E-08,-10,-3.222,2.38E+03,-6.778
3.55E-08,-10,-3.175,2.33E+03,-6.825
3.56E-08,-10,-3.129,2.28E+03,-6.871
3.57E-08,-10,-3.084,2.23E+03,-6.916
3.58E-08,-10,-3.04,2.18E+03,-6.96
3.59E-08,-10,-2.996,2.14E+03,-7.004
3.60E-08,-10,-2.953,2.10E+03,-7.047
3.61E-08,-10,-2.911,2.05E+03,-7.089
3.62E-08,-10,-2.869,2.01E+03,-7.131
3.63E-08,-10,-2.828,1.97E+03,-7.172
3.64E-08,-10,-2.788,1.93E+03,-7.212
3.65E-08,-10,-2.749,1.90E+03,-7.251
3.66E-08,-10,-2.711,1.86E+03,-7.289
3.67E-08,-10,-2.673,1.82E+03,-7.327
3.68E-08,-10,-2.636,1.79E+03,-7.364
3.69E-08,-10,-2.6,1.76E+03,-7.4
3.70E-08,-10,-2.565,1.73E+03,-7.435
3.71E-08,-10,-2.531,1.69E+03,-7.469
3.72E-08,-10,-2.497,1.66E+03,-7.503
3.73E-08,-10,-2.465,1.64E+03,-7.535
3.74E-08,-10,-2.433,1.61E+03,-7.567
3.75E-08,-10,-2.402,1.58E+03,-7.598
3.76E-08,-10,-2.371,1.55E+03,-7.629
3.77E-08,-10,-2.342,1.53E+03,-7.658
3.78E-08,-10,-2.313,1.51E+03,-7.687
3.79E-08,-10,-2.285,1.48E+03,-7.715
3.80E-08,-10,-2.258,1.46E+03,-7.742
3.81E-08,-10,-2.232,1.44E+03,-7.768
3.82E-08,-10,-2.206,1.42E+03,-7.794
3.83E-08,-10,-2.181,1.40E+03,-7.819
3.84E-08,-10,-2.157,1.38E+03,-7.843
3.85E-08,-10,-2.133,1.36E+03,-7.867
3.86E-08,-10,-2.111,1.34E+03,-7.889
3.87E-08,-10,-2.089,1.32E+03,-7.911
3.88E-08,-10,-2.067,1.30E+03,-7.933
3.89E-08,-10,-2.047,1.29E+03,-7.953
3.90E-08,-10,-2.027,1.27E+03,-7.973
3.91E-08,-10,-2.007,1.26E+03,-7.993
3.92E-08,-10,-1.988,1.24E+03,-8.012
3.93E-08,-10,-1.97,1.23E+03,-8.03
3.94E-08,-10,-1.953,1.21E+03,-8.047
3.95E-08,-10,-1.936,1.20E+03,-8.064
3.96E-08,-10,-1.919,1.19E+03,-8.081
3.97E-08,-10,-1.903,1.18E+03,-8.097
3.98E-08,-10,-1.888,1.16E+03,-8.112
3.99E-08,-10,-1.873,1.15E+03,-8.127
3.99E-08,-10,-1.859,1.14E+03,-8.141
4.00E-08,-10,-1.845,1.13E+03,-8.155
