SimTime,power_in,p_$flow,gp_ack_bus[0]
0,0,0,0
1.0015112,5.0100409180840027e-07,0.0050034827727233888,0
1.0512303,5.2649329835283221e-07,0.0052518706020613076,0
1.1506683,5.811756359712234e-07,0.0057486141942966517,0
1.3204,6.8592113164515817e-07,0.0065964024356700837,0
1.4489626,7.7483463542297505e-07,0.0072384589289690299,0
1.6262929,9.1101548097757965e-07,0.008123913941247389,0
1.8804944,1.1336029889200159e-06,0.0093928628569905359,0
2.3888972,1.6754738983531662e-06,0.011929351235117968,0
3.4057029,3.1455218738670185e-06,0.016995312912511204,0
4.5583309,5.4336066035330441e-06,0.022723897135580561,0
5.8960221,8.914524818814024e-06,0.029348472679753761,0
7.3878204,1.3837616327604275e-05,0.036699136995106414,0
9.2055217,2.1310183428944527e-05,0.045591127895080422,0
11.4695083,3.2859785215907803e-05,0.056546097426811701,0
14.4474981,5.1782665067840928e-05,0.070708110025239634,0
18.5574304,8.4686198854184769e-05,0.089681982690224024,0
24.7807884,0.00014879773940351093,0.11682018555622201,0
33.7602403,0.00026896842615350741,0.15167241072209137,0
43.8890555,0.00043796953743225486,0.18344507771035462,0
55.3409123,0.00066079767397423576,0.20790880244545362,0
68.0642885,0.00093047551650526407,0.21918299259492074,0
71.6265499,0.0010078687834759788,0.21921131798003546,0
73.4076806,0.0010465020959695543,0.21870402558769722,0
74.2982459,0.0010657739225310913,0.21832035911703984,0
74.7435286,0.0010753950143353791,0.21809610052045375,0
75.6340939,0.0010946017953389847,0.21758295574056519,0
76.0793766,0.0011041860506913357,0.21729422181974761,0
76.9699419,0.0011233107280202892,0.21665597922957847,0
77.4152246,0.0011328498413811549,0.21630837817037551,0
78.30579,0.0011518769818052402,0.21556583381815458,0
78.7510726,0.0011613640102288256,0.21517327440098954,0
79.641638,0.0011802815501858774,0.21435340671991893,0
81.4227687,0.0012178775603721591,0.21260183000433025,0
84.98503,0.0012920402826469902,0.20879802145549742,0
86.0924957,0.0013148064057330025,0.20755477611171269,0
88.3074272,0.0013599055438182996,0.20502294840970595,0
92.73729,0.0014483392449410927,0.19985511638755674,0
100,0.0015881728991195873,0.1912908508239225,0
109.0631326,0.0017552589985642293,0.18067313361468879,0
121.1175234,0.0019646159277656307,0.1668325095055673,0
138.9990553,0.0022450038659187063,0.14694548417888567,0
173.5741601,0.0026899168531728545,0.11061625219669252,0
200,0.0029476539850833436,0.084678330418658201,0
206,0.0029967042264198471,0.07900394367302091,0
206.0001208,0.0029967051807643359,0.079003803807032535,0
206.0003046,0.0029967066313033664,0.079003551143560391,0
206.0003653,0.0029967071107609576,0.079003467600649344,0
206.0004432,0.0029967077257177957,0.079003360427303437,0
206.000599,0.002996708955628966,0.07900314601195689,0
206.0009106,0.0029967114154412799,0.079002716906715162,0
206.0015338,0.0029967163350257571,0.079001857598624436,0
206.0027802,0.0029967261740337647,0.079000134596637808,0
206.005273,0.002996745851403262,0.078996671086651302,0
206.0102586,0.0029967852035344376,0.078989674339279656,0
